Altium Designer Pick and Place Locations

========================================================================================================================
File Design Information:

Date:       01/11/17
Time:       16:22
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator  Comment                                          Layer       Footprint             Center-X(mil) Center-Y(mil) Rotation Description                                                                                       
R31         10K                                              TopLayer    0402                  2225.000      1775.000      90       Resistor                                                                                          
R30         10K                                              TopLayer    0402                  2155.000      1775.000      90       Resistor                                                                                          
C5          18pF                                             TopLayer    0402                  3900.000      1940.000      270      Capacitor                                                                                         
C6          18pF                                             TopLayer    0402                  4050.000      1940.000      270      Capacitor                                                                                         
R4          33R                                              TopLayer    0402                  4000.000      1940.000      90       Resistor                                                                                          
U6          TXS0108EPWR                                      TopLayer    TSSOP-20              3729.765      4077.200      360      "8-Bit Bi-directional, Level-Shifting, Voltage Translator"                                        
SW2         "MOMENTARY SWITCH RA (SPST)"                     BottomLayer EVQ-PF006K            2753.699      1080.529      168      EVQ-PF006K                                                                                        
R34         100K                                             TopLayer    0402                  2665.000      3955.000      180      Resistor                                                                                          
C1          10uF                                             TopLayer    SMC_B                 3670.000      3805.000      270      "Polarised capacitor"                                                                             
C10         100nF                                            TopLayer    0603                  3945.000      4180.000      360      Capacitor                                                                                         
C2          100nF                                            TopLayer    0603                  3480.000      3865.000      270      Capacitor                                                                                         
C3          100nF                                            TopLayer    0603                  3565.000      3865.000      270      Capacitor                                                                                         
C4          100nF                                            TopLayer    0603                  2660.000      4120.000      90       Capacitor                                                                                         
C8          100nF                                            TopLayer    0603                  3505.000      3740.000      360      Capacitor                                                                                         
C9          100nF                                            TopLayer    0603                  3540.000      4210.000      90       Capacitor                                                                                         
R1          0                                                TopLayer    0402                  3535.000      4040.000      90       Resistor                                                                                          
U1          ODIN-W262                                        TopLayer    ODIN-88               3075.590      4255.110      90       "ODIN-W260: Host-based multiradio module with Wi-Fi and Bluetooth, internal antenna   u-blox.com" 
U2          MX25R3235FM1IH0                                  TopLayer    SO8                   2465.000      4080.000      270      "Serial Flash 32 Mb 80 Mhz"                                                                       
U7          TXS0108EPWR                                      TopLayer    TSSOP-20              2470.235      4393.390      180      "8-Bit Bi-directional, Level-Shifting, Voltage Translator"                                        
U3          USBLC6-2SC6SC6                                   TopLayer    SOT23-6L              3100.000      1245.000      0        "ESD USB Protection Bi-Directional"                                                               
C17         100nF                                            TopLayer    0402                  3895.000      2317.000      90       Capacitor                                                                                         
C7          100nF                                            TopLayer    0402                  3805.000      2090.000      270      Capacitor                                                                                         
C15         18pF                                             TopLayer    0402                  3787.000      2223.000      90       Capacitor                                                                                         
C16         18pF                                             TopLayer    0402                  3662.000      2118.000      180      Capacitor                                                                                         
D6          BAT60J                                           TopLayer    SOD323                3680.000      2390.000      90       "SCHOTTKY DIODE"                                                                                  
LED21       RED                                              TopLayer    CHIPLED_0603          3588.000      1990.540      90       "LED SMD, Colour Red"                                                                             
LED22       BLUE                                             TopLayer    CHIPLED_0603          3588.000      1805.270      270      "LED SMD, Colour Red"                                                                             
